# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      2.69e+01    2.52e+01      7.47e-02    4.65e-01      8.51e-01    7.95e-01    1.0e-03
    100      9.50e+00    9.21e+00      3.55e-02    6.74e-02      4.98e-01    4.82e-01    3.6e-04
    200      4.42e+00    4.17e+00      2.43e-02    3.93e-03      3.84e-01    3.63e-01    1.3e-04
    300      2.48e+00    2.48e+00      7.24e-03    1.52e-02      3.56e-01    3.54e-01    4.8e-05
    400      1.52e+00    1.50e+00      3.34e-03    2.95e-03      3.55e-01    3.51e-01    1.7e-05
    500      9.97e-01    9.95e-01      9.81e-03    9.69e-04      3.67e-01    3.70e-01    6.2e-06
    600      6.60e-01    6.89e-01      2.66e-03    2.78e-03      3.65e-01    3.81e-01    2.3e-06
    700      5.03e-01    4.95e-01      4.60e-03    3.51e-04      3.70e-01    3.67e-01    8.2e-07
    800      4.00e-01    4.08e-01      2.75e-03    6.12e-03      3.49e-01    3.51e-01    3.0e-07
    900      3.76e-01    3.74e-01      2.26e-03    4.80e-03      3.56e-01    3.50e-01    1.1e-07
   1000      3.78e-01    3.50e-01      5.60e-03    6.07e-03      3.57e-01    3.33e-01    3.9e-08
