# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      2.64e+01    2.43e+01      1.88e+00    2.32e+00      8.27e-01    7.54e-01    1.0e-03
    100      1.10e+01    1.11e+01      6.13e-02    6.13e-02      5.77e-01    5.80e-01    3.6e-04
    200      4.41e+00    4.15e+00      2.17e-02    4.27e-03      3.83e-01    3.61e-01    1.3e-04
    300      2.50e+00    2.43e+00      1.29e-02    1.36e-02      3.58e-01    3.48e-01    4.8e-05
    400      1.50e+00    1.51e+00      2.40e-03    8.44e-04      3.52e-01    3.53e-01    1.7e-05
    500      9.63e-01    1.00e+00      7.22e-03    4.68e-04      3.56e-01    3.74e-01    6.2e-06
    600      6.62e-01    6.96e-01      1.18e-03    4.07e-03      3.67e-01    3.84e-01    2.3e-06
    700      5.02e-01    5.02e-01      4.43e-03    5.90e-04      3.70e-01    3.72e-01    8.2e-07
    800      4.02e-01    4.06e-01      2.35e-03    5.55e-03      3.51e-01    3.51e-01    3.0e-07
    900      3.76e-01    3.69e-01      1.13e-03    8.62e-04      3.57e-01    3.51e-01    1.1e-07
   1000      3.78e-01    3.40e-01      4.72e-03    1.69e-03      3.63e-01    3.33e-01    3.9e-08
